"Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"LEGISLATIVE DISTRICT 1 - State Senator","Derek Stanford","(Prefers Democratic Party)",55496,63.27,"Legislative"
"LEGISLATIVE DISTRICT 1 - State Senator","Art Coday","(Prefers Republican Party)",32168,36.67,"Legislative"
"LEGISLATIVE DISTRICT 1 - State Senator","WRITE-IN"," ",53,0.06,"Legislative"
"LEGISLATIVE DISTRICT 1 - State Representative Pos. 1","Davina Duerr","(Prefers Democratic Party)",58019,66.43,"Legislative"
"LEGISLATIVE DISTRICT 1 - State Representative Pos. 1","Adam Bartholomew","(Prefers Republican Party)",29256,33.5,"Legislative"
"LEGISLATIVE DISTRICT 1 - State Representative Pos. 1","WRITE-IN"," ",61,0.07,"Legislative"
"LEGISLATIVE DISTRICT 1 - State Representative Pos. 2","Shelley Kloba","(Prefers Democratic Party)",55622,63.65,"Legislative"
"LEGISLATIVE DISTRICT 1 - State Representative Pos. 2","Jeb Brewer","(Prefers Republican Party)",31696,36.27,"Legislative"
"LEGISLATIVE DISTRICT 1 - State Representative Pos. 2","WRITE-IN"," ",64,0.07,"Legislative"
"LEGISLATIVE DISTRICT 2 - State Senator","Rick Payne","(Prefers Democrat Party)",29477,36.11,"Legislative"
"LEGISLATIVE DISTRICT 2 - State Senator","Jim McCune","(Prefers Republican Party)",51941,63.63,"Legislative"
"LEGISLATIVE DISTRICT 2 - State Senator","WRITE-IN"," ",216,0.26,"Legislative"
"LEGISLATIVE DISTRICT 2 - State Representative Pos. 1","Andrew Barkis","(Prefers Republican Party)",65621,95.37,"Legislative"
"LEGISLATIVE DISTRICT 2 - State Representative Pos. 1","WRITE-IN"," ",3189,4.63,"Legislative"
"LEGISLATIVE DISTRICT 2 - State Representative Pos. 2","JT Wilcox","(Prefers Republican Party)",53552,65.51,"Legislative"
"LEGISLATIVE DISTRICT 2 - State Representative Pos. 2","Veronica Whitcher Rockett","(Prefers Democratic Party)",27952,34.19,"Legislative"
"LEGISLATIVE DISTRICT 2 - State Representative Pos. 2","WRITE-IN"," ",248,0.3,"Legislative"
"LEGISLATIVE DISTRICT 3 - State Senator","Andy Billig","(Prefers DEMOCRATIC Party)",38858,58.14,"Legislative"
"LEGISLATIVE DISTRICT 3 - State Senator","Dave Lucas","(Prefers Republican Party)",27848,41.66,"Legislative"
"LEGISLATIVE DISTRICT 3 - State Senator","WRITE-IN"," ",134,0.2,"Legislative"
"LEGISLATIVE DISTRICT 3 - State Representative Pos. 1","Marcus Riccelli","(Prefers Democratic Party)",40124,60.43,"Legislative"
"LEGISLATIVE DISTRICT 3 - State Representative Pos. 1","Laura D Carder","(Prefers Republican Party)",26113,39.33,"Legislative"
"LEGISLATIVE DISTRICT 3 - State Representative Pos. 1","WRITE-IN"," ",164,0.25,"Legislative"
"LEGISLATIVE DISTRICT 3 - State Representative Pos. 2","Timm Ormsby","(Prefers DEMOCRATIC Party)",41298,62.55,"Legislative"
"LEGISLATIVE DISTRICT 3 - State Representative Pos. 2","Bob Apple","(Prefers R Party)",24467,37.06,"Legislative"
"LEGISLATIVE DISTRICT 3 - State Representative Pos. 2","WRITE-IN"," ",254,0.38,"Legislative"
"LEGISLATIVE DISTRICT 4 - State Senator","Mike Padden","(Prefers Republican Party)",56161,62.53,"Legislative"
"LEGISLATIVE DISTRICT 4 - State Senator","John Roskelley","(Prefers Democrat Party)",33506,37.31,"Legislative"
"LEGISLATIVE DISTRICT 4 - State Senator","WRITE-IN"," ",149,0.17,"Legislative"
"LEGISLATIVE DISTRICT 4 - State Representative Pos. 1","Bob McCaslin","(Prefers Republican Party)",54119,60.3,"Legislative"
"LEGISLATIVE DISTRICT 4 - State Representative Pos. 1","Lori Feagan","(Prefers Democratic Party)",35486,39.54,"Legislative"
"LEGISLATIVE DISTRICT 4 - State Representative Pos. 1","WRITE-IN"," ",143,0.16,"Legislative"
"LEGISLATIVE DISTRICT 4 - State Representative Pos. 2","Lance Gurel","(Prefers Democrat Party)",33554,37.74,"Legislative"
"LEGISLATIVE DISTRICT 4 - State Representative Pos. 2","Rob Chase","(Prefers Republican Party)",55124,62.01,"Legislative"
"LEGISLATIVE DISTRICT 4 - State Representative Pos. 2","WRITE-IN"," ",222,0.25,"Legislative"
"LEGISLATIVE DISTRICT 5 - State Senator","Ingrid Anderson","(Prefers Democratic Party)",41892,49.09,"Legislative"
"LEGISLATIVE DISTRICT 5 - State Senator","Mark Mullet","(Prefers Democratic Party)",41949,49.15,"Legislative"
"LEGISLATIVE DISTRICT 5 - State Senator","WRITE-IN"," ",1503,1.76,"Legislative"
"LEGISLATIVE DISTRICT 5 - State Representative Pos. 1","Bill Ramos","(Prefers Democratic Party)",55109,60.73,"Legislative"
"LEGISLATIVE DISTRICT 5 - State Representative Pos. 1","Ken Moninski","(Prefers Republican Party)",35531,39.15,"Legislative"
"LEGISLATIVE DISTRICT 5 - State Representative Pos. 1","WRITE-IN"," ",111,0.12,"Legislative"
"LEGISLATIVE DISTRICT 5 - State Representative Pos. 2","Lisa Callan","(Prefers Democratic Party)",64086,89.91,"Legislative"
"LEGISLATIVE DISTRICT 5 - State Representative Pos. 2","WRITE-IN"," ",7194,10.09,"Legislative"
"LEGISLATIVE DISTRICT 6 - State Representative Pos. 1","Mike Volz","(Prefers Republican Party)",44537,51.91,"Legislative"
"LEGISLATIVE DISTRICT 6 - State Representative Pos. 1","Zack Zappone","(Prefers Democratic Party)",41153,47.96,"Legislative"
"LEGISLATIVE DISTRICT 6 - State Representative Pos. 1","WRITE-IN"," ",113,0.13,"Legislative"
"LEGISLATIVE DISTRICT 6 - State Representative Pos. 2","Jenny Graham","(Prefers Republican Party)",46158,54.25,"Legislative"
"LEGISLATIVE DISTRICT 6 - State Representative Pos. 2","Tom McGarry","(Prefers Democratic Party)",38803,45.61,"Legislative"
"LEGISLATIVE DISTRICT 6 - State Representative Pos. 2","WRITE-IN"," ",118,0.14,"Legislative"
"LEGISLATIVE DISTRICT 7 - State Representative Pos. 1","Jacquelin Maycumber","(Prefers Republican Party)",61485,71.86,"Legislative"
"LEGISLATIVE DISTRICT 7 - State Representative Pos. 1","Georgia D. Davenport","(Prefers Democratic Party)",23973,28.02,"Legislative"
"LEGISLATIVE DISTRICT 7 - State Representative Pos. 1","WRITE-IN"," ",100,0.12,"Legislative"
"LEGISLATIVE DISTRICT 7 - State Representative Pos. 2","Joel Kretz","(Prefers Republican Party)",62615,74.86,"Legislative"
"LEGISLATIVE DISTRICT 7 - State Representative Pos. 2","JJ Wandler","(Prefers Independent Party)",20735,24.79,"Legislative"
"LEGISLATIVE DISTRICT 7 - State Representative Pos. 2","WRITE-IN"," ",288,0.34,"Legislative"
"LEGISLATIVE DISTRICT 8 - State Representative Pos. 1","Brad Klippert","(Prefers Republican Party)",51981,65.74,"Legislative"
"LEGISLATIVE DISTRICT 8 - State Representative Pos. 1","Shir Regev","(Prefers Democractic Party)",26979,34.12,"Legislative"
"LEGISLATIVE DISTRICT 8 - State Representative Pos. 1","WRITE-IN"," ",107,0.14,"Legislative"
"LEGISLATIVE DISTRICT 8 - State Representative Pos. 2","Matt Boehnke","(Prefers Republican Party)",59046,78.63,"Legislative"
"LEGISLATIVE DISTRICT 8 - State Representative Pos. 2","Larry Stanley","(Prefers The Alliance Party)",15452,20.58,"Legislative"
"LEGISLATIVE DISTRICT 8 - State Representative Pos. 2","WRITE-IN"," ",598,0.8,"Legislative"
