district,party,total_votes
1,Democrat,87339
2,Republican,68807
3,Democrat,66397
4,Republican,89750
5,Democrat,90744
6,Republican,85797
7,Republican,85562
8,Republican,79071
9,Republican,65214
10,Republican,90846
11,Democrat,58980
12,Republican,75894
13,Republican,66874
14,Republican,66296
15,Republican,46195
16,Republican,60664
17,Republican,82140
18,Republican,94139
19,Republican,73019
20,Republican,82686
21,Democrat,78663
22,Democrat,90150
23,Democrat,85912
24,Democrat,92237
25,Republican,76896
26,Republican,89407
27,Democrat,69479
28,Democrat,69871
29,Democrat,57592
30,Democrat,62803
31,Republican,85908
32,Democrat,73649
33,Democrat,60772
34,Democrat,75303
35,Republican,84543
36,Democrat,87410
37,Democrat,77765
38,Democrat,67476
39,Republican,81166
40,Democrat,67814
41,Democrat,65945
42,Democrat,92449
43,Democrat,95080
44,Democrat,88765
45,Democrat,84059
46,Democrat,91364
47,Democrat,71935
48,Democrat,69350
49,Democrat,72641
