GEOID,STATEFP,STATE,COUNTYFP,COUNTY,TOT_POP23,C_US_BRN23,C_PR_BRN23,C_AB_BRN23,C_NTRLZN23,NOT_CIT23
53001,53, Washington,001,Adams County,20690,15831,0,76,1091,3692
53003,53, Washington,003,Asotin County,22424,21691,0,173,211,349
53005,53, Washington,005,Benton County,210224,184060,181,2336,9770,13877
53007,53, Washington,007,Chelan County,79518,67347,33,824,3795,7519
53009,53, Washington,009,Clallam County,77593,73028,266,789,2335,1175
53011,53, Washington,011,Clark County,510516,447315,1081,5963,31939,24218
53013,53, Washington,013,Columbia County,3996,3849,5,21,14,107
53015,53, Washington,015,Cowlitz County,111539,105901,132,930,2102,2474
53017,53, Washington,017,Douglas County,43733,36039,44,380,1905,5365
53019,53, Washington,019,Ferry County,7326,6950,53,153,81,89
53021,53, Washington,021,Franklin County,97676,74979,55,1406,7063,14173
53023,53, Washington,023,Garfield County,2326,2248,0,41,0,37
53025,53, Washington,025,Grant County,100428,83456,62,663,4083,12164
53027,53, Washington,027,Grays Harbor County,76397,71417,419,625,1380,2556
53029,53, Washington,029,Island County,86747,78679,274,1308,4254,2232
53031,53, Washington,031,Jefferson County,33313,30937,58,561,935,822
53033,53, Washington,033,King County,2262713,1652381,5268,36764,270107,298193
53035,53, Washington,035,Kitsap County,276581,250631,1909,5182,11196,7663
53037,53, Washington,037,Kittitas County,44736,42529,0,455,855,897
53039,53, Washington,039,Klickitat County,23082,20519,0,328,1046,1189
53041,53, Washington,041,Lewis County,83925,78637,154,727,1874,2533
53043,53, Washington,043,Lincoln County,11271,10927,0,102,138,104
53045,53, Washington,045,Mason County,66968,61343,209,843,1471,3102
53047,53, Washington,047,Okanogan County,42811,37039,135,346,1337,3954
53049,53, Washington,049,Pacific County,23750,22064,0,269,742,675
53051,53, Washington,051,Pend Oreille County,13811,13427,0,103,182,99
53053,53, Washington,053,Pierce County,924106,798910,7328,20595,55630,41643
53055,53, Washington,055,San Juan County,18266,16564,26,338,721,617
53057,53, Washington,057,Skagit County,130407,116389,219,1619,5509,6671
53059,53, Washington,059,Skamania County,12276,11650,3,71,287,265
53061,53, Washington,061,Snohomish County,834648,665350,1896,12743,79152,75507
53063,53, Washington,063,Spokane County,544323,507723,881,6417,17352,11950
53065,53, Washington,065,Stevens County,47470,46027,36,462,669,276
53067,53, Washington,067,Thurston County,296640,263116,1844,6536,14657,10487
53069,53, Washington,069,Wahkiakum County,4573,4357,8,4,109,95
53071,53, Washington,071,Walla Walla County,62102,54541,129,1416,3006,3010
53073,53, Washington,073,Whatcom County,228432,200705,491,4663,12455,10118
53075,53, Washington,075,Whitman County,47042,42326,106,849,1237,2524
53077,53, Washington,077,Yakima County,256605,206487,466,2080,15286,32286
